f00f,Intel F00F
fdiv,FPU FDIV
coma,Cyrix 6x86 coma
amd_tlb_mmatch,tlb_mmatch AMD Erratum 383
amd_apic_c1e,apic_c1e AMD Erratum 400
11ap,Bad local APIC aka 11AP
fxsave_leak,FXSAVE leaks FOP/FIP/FOP
clflush_monitor,"AAI65, CLFLUSH required before MONITOR"
sysret_ss_attrs,SYSRET doesn't fix up SS attrs
espfix.,ESPFIX.  Make the define conditional
espfix,IRET to 16-bit SS corrupts ESP/RSP high bits
null_seg,Nulling a selector preserves the base
swapgs_fence,SWAPGS without input dep on GS
monitor,IPI required to wake up remote CPU
amd_e400,CPU is among the affected by Erratum 400
cpu_meltdown,CPU is affected by meltdown attack and needs kernel page table isolation
spectre_v1,CPU is affected by Spectre variant 1 attack with conditional branches
spectre_v2,CPU is affected by Spectre variant 2 attack with indirect branches
spec_store_bypass,CPU is affected by speculative store bypass attack
l1tf,CPU is affected by L1 Terminal Fault
mds,CPU is affected by Microarchitectural data sampling
msbds_only,CPU is only affected by the  MSDBS variant of BUG_MDS
swapgs,CPU is affected by speculation through SWAPGS
taa,CPU is affected by TSX Async Abort(TAA)
itlb_multihit,CPU may incur MCE during certain page attribute changes
srbds,CPU may leak RNG bits if not mitigated
