fpu,Onboard FPU
vme,Virtual Mode Extensions
de,Debugging Extensions
pse,Page Size Extensions
tsc,Time Stamp Counter
msr,Model-Specific Registers
pae,Physical Address Extensions
mce,Machine Check Exception
cx8,CMPXCHG8 instruction
apic,Onboard APIC
sep,SYSENTER/SYSEXIT
mtrr,Memory Type Range Registers
pge,Page Global Enable
mca,Machine Check Architecture
cmov,"CMOV instructions (plus FCMOVcc, FCOMI with FPU)"
pat,Page Attribute Table
pse36,36-bit PSEs
pn,Processor serial number
clflush,CLFLUSH instruction
ds,dts Debug Store
acpi,ACPI via MSR
mmx,Multimedia Extensions
fxsr,"FXSAVE/FXRSTOR, CR4.OSFXSR"
xmm,sse
xmm2,sse2
selfsnoop,ss CPU self snoop
ht,Hyper-Threading
acc,tm Automatic clock control
ia64,IA-64 processor
pbe,Pending Break Enable
syscall,SYSCALL/SYSRET
mp,MP Capable
nx,Execute Disable
mmxext,AMD MMX extensions
fxsr_opt,FXSAVE/FXRSTOR optimizations
gbpages,pdpe1gb GB pages
rdtscp,RDTSCP
lm,"Long Mode (x86-64, 64-bit support)"
3dnowext,AMD 3DNow extensions
3dnow,3DNow
recovery,CPU in recovery mode
longrun,Longrun power control
lrti,LongRun table interface
cxmmx,Cyrix MMX extensions
k6_mtrr,AMD K6 nonstandard MTRRs
cyrix_arr,Cyrix ARRs (= MTRRs)
centaur_mcr,Centaur MCRs (= MTRRs)
k8,"Opteron, Athlon64"
p3,P3
p4,P4
constant_tsc,TSC ticks at a constant rate
up,SMP kernel running on UP
art,Always running timer (ART)
arch_perfmon,Intel Architectural PerfMon
pebs,Precise-Event Based Sampling
bts,Branch Trace Store
syscall32,syscall in IA32 userspace
sysenter32,sysenter in IA32 userspace
rep_good,REP microcode works well
lfence_rdtsc,LFENCE synchronizes RDTSC
acc_power,AMD Accumulated Power Mechanism
nopl,The NOPL (0F 1F) instructions
always,Always-present feature
xtopology,CPU topology enum extensions
tsc_reliable,TSC is known to be reliable
nonstop_tsc,TSC does not stop in C states
cpuid,CPU has CPUID instruction itself
extd_apicid,Extended APICID (8 bits)
amd_dcm,AMD multi-node processor
aperfmperf,P-State hardware coordination feedback capability (APERF/MPERF MSRs)
rapl,AMD/Hygon RAPL interface
nonstop_tsc_s3,TSC doesn't stop in S3 state
tsc_known_freq,TSC has known frequency
xmm3,pni SSE-3
pclmulqdq,PCLMULQDQ instruction
dtes64,64-bit Debug Store
mwait,monitor MONITOR/MWAIT support
dscpl,ds_cpl CPL-qualified (filtered) Debug Store
vmx,Hardware virtualization
smx,Safer Mode eXtensions
est,Enhanced SpeedStep
tm2,Thermal Monitor 2
ssse3,Supplemental SSE-3
cid,Context ID
sdbg,Silicon Debug
fma,Fused multiply-add
cx16,CMPXCHG16B instruction
xtpr,Send Task Priority Messages
pdcm,Perf/Debug Capabilities MSR
pcid,Process Context Identifiers
dca,Direct Cache Access
xmm4_1,sse4_1 SSE-4.1
